<div>Used for books, films, machines etc</div>	部 -&nbsp;bù
部 -&nbsp;bù	Used for books, films, machines etc
<div>Hundred</div>	百 -&nbsp;bǎi
百 -&nbsp;bǎi	Hundred
<div>Unit of money</div>	块 -&nbsp;kuài
块 -&nbsp;kuài	Unit of money
<div>Money</div>	钱 -&nbsp;qián
钱 -&nbsp;qián	Money
<div>Used for certian machinery or apparatus</div>	台 -&nbsp;tái
台 -&nbsp;tái	Used for certian machinery or apparatus
<div>Thousand</div>	千 -&nbsp;qiān
千 -&nbsp;qiān	Thousand
<div>Altogether, in all</div>	一共 -&nbsp;yīgòng
一共 -&nbsp;yīgòng	Altogether, in all
<div>Need</div>	需要 -&nbsp;xūyào
需要 -&nbsp;xūyào	Need
<div>Attendant, shop assistant</div>	营业员 -&nbsp;yíngyèyuán
营业员 -&nbsp;yíngyèyuán	Attendant, shop assistant
<div>Want, need</div>	要 -&nbsp;yào
要 -&nbsp;yào	Want, need
<div>Bread</div>	面包 -&nbsp;miànbāo
面包 -&nbsp;miànbāo	Bread
<div>Kind, sort, type, variety</div>	种 -&nbsp;zhǒng
种 -&nbsp;zhǒng	Kind, sort, type, variety
<div>This</div>	这 -&nbsp;zhè
这 -&nbsp;zhè	This
<div>Thank, be grateful</div>	谢谢 -&nbsp;xièxie
谢谢 -&nbsp;xièxie	Thank, be grateful
<div>You're welcome</div>	不客气 -&nbsp;bù kèqi
不客气 -&nbsp;bù kèqi	You're welcome
<div>Polite, courteous</div>	客气 -&nbsp;kèqi
客气 -&nbsp;kèqi	Polite, courteous
<div>Banana</div>	香蕉 -&nbsp;xiāngjiāo
香蕉 -&nbsp;xiāngjiāo	Banana
<div>Weight equal to 0.5 kg</div>	斤 -&nbsp;jīn
斤 -&nbsp;jīn	Weight equal to 0.5 kg
<div>Apple</div>	苹果 -&nbsp;píngguǒ
苹果 -&nbsp;píngguǒ	Apple
<div>Again,&nbsp;once more, one more time</div>	再 -&nbsp;zài
再 -&nbsp;zài	Again,&nbsp;once more, one more time
<div>A&nbsp;fractional monetary unit in China(=1/10 yuan)</div>	毛 -&nbsp;máo
毛 -&nbsp;máo	A&nbsp;fractional monetary unit in China(=1/10 yuan)
<div>Book</div>	书 -&nbsp;shū (measure word běn)
书 -&nbsp;shū (measure word běn)	Book
